customerid,tenure,total_spend,last_interaction
1,25,598,9
2,28,584,20
3,27,757,21
4,9,232,18
5,58,533,18
6,41,500,29
7,37,574,14
8,36,323,16
9,20,687,8
10,8,995,10
11,42,526,3
12,13,187,1
13,2,758,24
14,46,438,30
15,21,663,15
16,1,677,25
17,54,636,22
18,9,127,18
19,40,396,21
20,39,202,24
21,28,925,13
22,58,463,26
23,50,449,3
24,54,373,25
25,59,460,12
26,58,166,1
27,58,615,4
28,60,696,20
29,41,678,30
30,44,792,27
31,23,812,3
32,26,156,15
33,1,611,4
34,41,943,12
35,31,329,6
36,30,493,1
37,44,636,30
38,27,384,6
39,44,515,1
40,51,820,17
41,28,1000,26
42,45,405,4
43,19,879,4
44,2,771,4
45,9,600,17
46,14,825,19
47,24,231,8
48,13,259,15
49,15,244,1
50,46,705,5
51,47,136,14
52,3,843,6
53,17,402,8
54,22,919,3
55,57,699,4
56,34,733,1
57,24,563,10
58,24,448,12
59,29,172,2
60,39,933,9
61,57,576,6
62,57,657,26
63,13,843,29
64,54,731,27
65,33,665,5
66,35,546,26
67,19,579,14
68,34,757,25
69,28,515,27
70,56,599,20
71,57,554,12
72,34,986,19
73,5,844,12
74,37,668,3
75,55,867,26
76,48,471,11
77,59,628,11
78,47,761,8
79,39,599,13
80,19,372,8
81,54,213,13
82,6,996,17
83,26,403,3
84,42,468,25
85,59,368,8
86,59,599,25
87,39,759,1
88,25,966,7
89,28,784,7
90,17,332,24
91,36,364,1
92,57,209,29
93,6,428,29
94,51,347,11
95,37,418,13
96,42,322,10
97,32,920,28
98,21,894,28
99,21,570,1
100,6,632,5
101,45,442,10
102,47,969,7
103,16,719,19
104,20,941,18
105,10,218,7
106,59,225,27
107,10,345,27
108,22,769,30
109,54,717,9
110,7,199,13
111,57,821,8
112,8,900,14
113,56,175,11
114,10,317,3
115,43,600,11
116,43,779,23
117,36,635,19
118,28,524,1
119,13,382,16
120,3,990,21
121,47,532,7
122,28,377,7
123,13,486,25
124,50,640,3
125,35,104,27
126,58,392,3
127,23,255,24
128,36,237,5
129,52,555,11
130,36,444,2
131,6,630,18
132,33,664,27
133,37,186,9
134,59,978,11
135,47,996,16
136,26,254,1
137,27,123,19
138,37,377,9
139,13,921,3
140,58,920,22
141,56,335,18
142,59,803,15
143,10,888,28
144,16,712,2
145,8,257,18
146,2,355,12
147,58,201,20
148,16,133,24
149,24,910,22
150,42,419,27
151,20,115,7
152,22,121,20
153,22,736,24
154,13,934,11
155,7,640,1
156,41,119,13
157,3,994,25
158,16,411,19
159,36,817,22
160,14,200,7
161,51,837,16
162,34,164,2
163,46,413,12
164,53,423,15
165,54,235,29
166,6,862,3
167,10,775,6
168,55,259,22
169,59,581,4
170,52,796,25
171,20,317,20
172,6,354,12
173,5,821,16
174,36,946,30
175,42,838,6
176,52,136,4
177,31,150,11
178,40,546,7
179,28,716,1
180,1,699,15
181,40,912,8
182,13,350,9
183,60,423,24
184,5,973,25
185,26,683,12
186,55,561,16
187,38,203,26
188,41,538,18
189,60,720,24
190,50,588,10
191,44,656,6
192,4,733,4
193,28,261,13
194,58,447,20
195,46,527,19
196,41,833,5
197,29,254,20
198,17,715,15
199,56,239,29
200,20,224,13
201,24,566,8
202,9,295,21
203,44,890,12
204,5,821,27
205,29,258,18
206,26,371,8
207,35,335,8
208,33,312,29
209,13,749,14
210,36,140,28
211,15,960,21
212,22,838,10
213,56,854,26
214,45,344,17
215,11,841,26
216,31,705,24
217,44,890,26
218,27,150,28
219,8,866,15
220,25,212,13
221,46,524,6
222,36,894,29
223,15,650,3
224,32,505,21
225,29,909,24
226,60,298,23
227,16,725,14
228,59,733,18
229,55,382,8
230,29,126,9
231,50,736,4
232,29,584,26
233,46,969,30
234,33,393,14
235,18,722,26
236,51,654,16
237,35,805,2
238,33,230,23
239,52,403,14
240,11,984,14
241,13,849,26
242,44,664,3
243,52,408,7
244,55,826,17
245,1,302,3
246,33,846,11
247,5,205,22
248,54,131,11
249,18,426,30
250,15,309,23
251,31,313,10
252,41,889,6
253,45,799,7
254,47,237,17
255,14,828,11
256,59,481,28
257,49,187,13
258,22,632,22
259,17,207,10
260,59,366,22
261,52,153,26
262,37,212,12
263,46,300,21
264,55,662,28
265,21,388,12
266,38,874,12
267,41,971,12
268,55,689,6
269,42,280,20
270,35,506,22
271,39,690,17
272,56,821,7
273,35,514,17
274,47,885,9
275,19,644,8
276,28,628,18
277,54,131,20
278,48,278,26
279,28,280,15
280,13,466,14
281,26,953,5
282,4,465,17
283,10,292,6
284,35,940,1
285,28,741,4
286,14,380,7
287,46,501,21
288,50,407,29
289,5,101,12
290,40,212,20
291,34,654,26
292,8,226,4
293,1,337,6
294,35,163,8
295,56,837,9
296,33,719,18
297,14,987,2
298,23,300,27
299,50,487,18
300,42,862,9
301,38,863,7
302,35,415,20
303,21,607,21
304,9,592,24
305,42,256,17
306,35,603,9
307,26,721,25
308,49,329,8
309,12,173,29
310,24,101,30
311,56,123,14
312,16,438,23
313,41,532,27
314,37,845,2
315,42,210,29
316,29,802,17
317,20,305,26
318,3,808,26
319,47,464,24
320,52,197,3
321,7,646,9
322,51,800,9
323,57,471,11
324,15,672,2
325,39,666,25
326,42,525,25
327,32,404,27
328,59,175,29
329,60,951,13
330,7,285,4
331,37,476,1
332,57,603,25
333,2,681,23
334,21,823,28
335,54,525,30
336,8,582,27
337,46,977,2
338,38,808,6
339,56,550,17
340,48,169,15
341,51,278,27
342,57,163,17
343,16,474,14
344,17,446,7
345,37,641,2
346,44,650,3
347,3,647,21
348,4,428,8
349,59,707,12
350,42,719,6
351,29,918,9
352,16,704,23
353,17,519,8
354,34,672,27
355,40,296,25
356,56,718,6
357,2,141,8
358,19,928,12
359,46,621,2
360,60,736,1
361,6,999,3
362,9,977,5
363,41,706,12
364,33,593,26
365,41,130,18
366,30,862,7
367,47,107,9
368,1,431,8
369,41,503,24
370,30,721,16
371,39,795,2
372,37,124,19
373,45,420,18
374,14,197,5
375,35,632,19
376,46,982,18
377,17,421,16
378,1,687,9
379,2,899,29
380,13,686,15
381,45,288,11
382,40,928,27
383,10,321,12
384,39,651,27
385,20,924,20
386,41,814,19
387,41,420,21
388,55,265,8
389,37,425,21
390,33,808,10
391,32,218,2
392,3,418,10
393,12,872,24
394,14,693,27
395,45,738,1
396,52,839,10
397,36,149,4
398,28,136,1
399,57,699,26
400,19,870,2
401,38,619,5
402,46,959,4
403,12,826,7
404,16,763,24
405,1,642,21
