customerid,subscription_type,contract_length,usage_frequency,support_calls,payment_delay
1,Basic,Monthly,14,4,27
2,Standard,Monthly,28,7,13
3,Premium,Annual,10,2,29
4,Premium,Quarterly,12,5,17
5,Standard,Annual,24,9,2
6,Premium,Monthly,14,10,10
7,Basic,Quarterly,15,9,28
8,Standard,Monthly,11,0,18
9,Basic,Monthly,5,10,8
10,Basic,Annual,4,2,23
11,Standard,Annual,27,9,21
12,Basic,Quarterly,23,5,14
13,Premium,Quarterly,7,0,25
14,Premium,Quarterly,27,5,8
15,Premium,Quarterly,17,2,14
16,Basic,Monthly,3,7,3
17,Basic,Monthly,3,6,2
18,Basic,Annual,30,4,25
19,Premium,Annual,2,1,6
20,Premium,Quarterly,19,2,15
21,Premium,Monthly,7,1,21
22,Premium,Quarterly,4,0,1
23,Standard,Quarterly,28,0,17
24,Basic,Monthly,20,4,1
25,Basic,Annual,7,5,9
26,Premium,Annual,7,3,30
27,Basic,Quarterly,18,8,4
28,Premium,Annual,7,7,0
29,Premium,Annual,11,5,11
30,Basic,Quarterly,7,8,16
31,Basic,Annual,8,8,0
32,Basic,Annual,3,0,2
33,Standard,Annual,7,0,3
34,Premium,Monthly,8,1,7
35,Standard,Quarterly,6,2,29
36,Standard,Monthly,10,4,16
37,Basic,Quarterly,17,3,2
38,Standard,Monthly,15,8,24
39,Premium,Annual,21,3,22
40,Basic,Monthly,10,9,11
41,Basic,Quarterly,23,7,16
42,Premium,Quarterly,24,5,2
43,Premium,Monthly,2,7,2
44,Premium,Monthly,26,5,14
45,Premium,Monthly,16,1,22
46,Basic,Monthly,14,8,12
47,Basic,Monthly,21,8,29
48,Basic,Quarterly,26,2,26
49,Basic,Quarterly,26,10,25
50,Standard,Annual,30,2,21
51,Standard,Monthly,4,7,3
52,Standard,Monthly,5,0,23
53,Standard,Annual,4,5,23
54,Premium,Annual,21,3,30
55,Premium,Annual,4,10,20
56,Basic,Annual,20,3,26
57,Standard,Monthly,11,9,10
58,Premium,Annual,28,3,24
59,Premium,Quarterly,3,2,21
60,Standard,Quarterly,25,2,9
61,Standard,Annual,21,8,24
62,Basic,Quarterly,16,10,2
63,Premium,Quarterly,25,9,27
64,Standard,Annual,7,0,15
65,Basic,Quarterly,27,1,23
66,Standard,Annual,4,6,16
67,Basic,Monthly,27,2,0
68,Premium,Annual,2,7,17
69,Premium,Quarterly,13,0,27
70,Premium,Annual,8,9,21
71,Standard,Monthly,29,1,19
72,Basic,Annual,20,1,1
73,Basic,Annual,12,5,23
74,Standard,Annual,26,5,29
75,Standard,Annual,15,10,3
76,Premium,Annual,9,7,26
77,Basic,Annual,30,5,26
78,Basic,Monthly,12,0,29
79,Standard,Monthly,10,3,29
80,Premium,Monthly,25,5,13
81,Premium,Annual,26,0,9
82,Basic,Monthly,16,6,21
83,Premium,Monthly,22,8,9
84,Basic,Monthly,22,3,27
85,Basic,Quarterly,24,3,26
86,Basic,Monthly,10,5,8
87,Basic,Quarterly,9,2,13
88,Premium,Monthly,10,10,17
89,Standard,Monthly,9,6,5
90,Premium,Quarterly,19,10,12
91,Premium,Annual,18,0,24
92,Premium,Quarterly,21,6,6
93,Premium,Quarterly,21,1,2
94,Standard,Annual,27,9,23
95,Premium,Annual,14,0,24
96,Premium,Quarterly,18,8,6
97,Basic,Annual,7,5,14
98,Basic,Annual,28,10,2
99,Standard,Quarterly,3,5,20
100,Basic,Annual,26,10,0
101,Standard,Monthly,20,6,28
102,Standard,Annual,23,4,8
103,Standard,Quarterly,13,9,15
104,Basic,Monthly,27,4,13
105,Standard,Quarterly,22,9,0
106,Basic,Annual,29,5,7
107,Standard,Quarterly,9,1,18
108,Standard,Quarterly,15,1,19
109,Basic,Quarterly,20,1,9
110,Basic,Monthly,30,3,5
111,Premium,Monthly,20,8,26
112,Premium,Monthly,11,9,24
113,Standard,Monthly,3,3,12
114,Basic,Annual,3,8,13
115,Basic,Monthly,30,7,5
116,Basic,Quarterly,10,0,10
117,Standard,Monthly,18,7,14
118,Premium,Monthly,7,8,7
119,Basic,Quarterly,27,6,21
120,Basic,Quarterly,12,8,8
121,Basic,Monthly,2,8,21
122,Basic,Annual,4,0,21
123,Basic,Monthly,26,3,3
124,Basic,Quarterly,10,2,26
125,Basic,Annual,15,6,20
126,Premium,Annual,27,1,3
127,Standard,Annual,29,1,22
128,Standard,Monthly,17,4,15
129,Standard,Quarterly,13,10,14
130,Premium,Annual,23,2,5
131,Premium,Annual,15,2,30
132,Premium,Monthly,7,0,22
133,Basic,Monthly,15,4,10
134,Standard,Quarterly,20,0,17
135,Basic,Annual,14,10,16
136,Basic,Annual,17,10,25
137,Basic,Quarterly,15,2,15
138,Standard,Annual,11,3,23
139,Basic,Monthly,4,3,12
140,Basic,Annual,7,5,9
141,Standard,Annual,29,0,24
142,Premium,Quarterly,10,5,5
143,Premium,Annual,9,1,30
144,Basic,Annual,20,10,26
145,Basic,Annual,12,9,15
146,Basic,Quarterly,20,6,17
147,Premium,Monthly,24,9,5
148,Premium,Annual,13,2,28
149,Premium,Quarterly,6,5,28
150,Premium,Quarterly,8,8,21
151,Premium,Annual,12,1,7
152,Basic,Monthly,5,5,29
153,Basic,Annual,30,9,21
154,Standard,Annual,16,10,18
155,Standard,Annual,27,7,23
156,Standard,Annual,25,10,1
157,Premium,Quarterly,8,5,15
158,Standard,Annual,10,0,14
159,Premium,Annual,21,8,0
160,Premium,Monthly,5,3,4
161,Premium,Annual,1,0,7
162,Standard,Quarterly,23,5,12
163,Basic,Quarterly,2,1,12
164,Standard,Annual,16,5,3
165,Premium,Quarterly,18,1,29
166,Premium,Quarterly,22,7,23
167,Standard,Quarterly,11,5,1
168,Premium,Monthly,17,10,12
169,Basic,Monthly,9,4,9
170,Standard,Annual,27,5,13
171,Standard,Annual,8,10,3
172,Standard,Quarterly,1,9,18
173,Basic,Quarterly,13,7,3
174,Premium,Quarterly,4,4,21
175,Standard,Monthly,23,6,24
176,Standard,Quarterly,26,0,10
177,Premium,Quarterly,30,8,24
178,Premium,Monthly,11,4,17
179,Premium,Monthly,8,4,23
180,Standard,Annual,7,4,22
181,Premium,Annual,10,10,28
182,Basic,Annual,11,9,14
183,Premium,Monthly,24,10,18
184,Premium,Monthly,22,8,0
185,Standard,Annual,18,1,16
186,Standard,Monthly,8,8,4
187,Basic,Quarterly,21,4,5
188,Premium,Monthly,13,8,22
189,Premium,Annual,25,5,8
190,Standard,Annual,15,6,1
191,Standard,Monthly,30,0,26
192,Standard,Annual,26,8,12
193,Standard,Monthly,12,3,20
194,Standard,Annual,24,9,16
195,Premium,Annual,2,4,28
196,Basic,Quarterly,29,3,1
197,Standard,Quarterly,25,4,2
198,Standard,Quarterly,11,6,24
199,Basic,Quarterly,21,3,26
200,Standard,Monthly,1,4,15
201,Premium,Monthly,29,1,26
202,Standard,Annual,27,5,16
203,Standard,Quarterly,22,4,18
204,Standard,Annual,25,1,26
205,Basic,Annual,30,4,3
206,Basic,Annual,7,2,3
207,Basic,Monthly,29,9,18
208,Basic,Annual,18,1,22
209,Standard,Quarterly,20,0,22
210,Premium,Annual,19,1,13
211,Standard,Quarterly,4,5,30
212,Premium,Quarterly,5,1,2
213,Basic,Monthly,7,2,25
214,Standard,Monthly,29,8,7
215,Basic,Annual,10,10,10
216,Basic,Quarterly,15,6,11
217,Standard,Annual,7,8,9
218,Basic,Monthly,25,6,8
219,Premium,Quarterly,11,10,12
220,Standard,Monthly,19,8,26
221,Premium,Quarterly,5,2,11
222,Standard,Annual,16,4,26
223,Standard,Quarterly,19,3,2
224,Standard,Quarterly,20,2,24
225,Standard,Annual,18,4,16
226,Standard,Quarterly,29,7,22
227,Basic,Monthly,24,6,21
228,Premium,Annual,9,2,18
